cells,characters,dropout,mutationrate,rep,method,#branches,#FN,#FP,#TP,FN_rate,FP_rate,TP_rate,parsimony-score,time,normalized-parsimony-score
50,20,0.15,0.1,4,laml,12,8,7,5,0.615385,0.583333,0.416667,128.21,94.73,1.240181853356548655445927646
50,20,0.15,0.1,4,paup,17,4,8,9,0.307692,0.470588,0.529412,103.38,1.55,1
50,20,0.15,0.1,4,star_cdp,16,7,10,6,0.538462,0.625,0.375,103.38,3.88,1
50,20,0.15,0.1,4,paup-sc,4,9,0,4,0.692308,0.0,1.0,238.89,,2.310795124782356355194428323
50,20,0.15,0.1,4,star_cdp-sc,10,4,1,9,0.307692,0.1,0.9,186.32,,1.802282840007738440704198104
50,20,0.15,0.1,4,ground-truth,13,0,0,13.0,0.0,0.0,1,103.38,,1
50,20,0.15,0.1,5,cassiopeia-greedy,15,5,8,7,0.416667,0.533333,0.466667,110.71,5.34,0.9820810786835802359620331766
50,20,0.15,0.1,5,startle_nni,14,5,7,7,0.416667,0.5,0.5,114.96,3.68,1.019781779473077264259735652
50,20,0.15,0.1,5,startle_ilp,12,4,4,8,0.333333,0.333333,0.666667,110.71,12.66,0.9820810786835802359620331766
50,20,0.15,0.1,5,laml,14,5,7,7,0.416667,0.5,0.5,114.96,113.67,1.019781779473077264259735652
