"SILENCING","PRIOR","LABL","REPL","MTHD","NIBR_TRUE","NIBR_ESTI","FN","FP","TP","FN_RATE","FP_RATE","TP_RATE","PRECISION","RECALL","F1SCORE","RF","PSCORE","NORM_PSCORE","SECS","CONTRACT"
0,3,"0%",5,"PAUP*-SC",248,152,124,28,124,0.5,0.184211,0.815789,0.8157894736842105,0.5,0.62,152,"NA","NA","NA","NONE"
0,3,"0%",5,"StarCDP-SC",248,165,119,36,129,0.479839,0.218182,0.781818,0.7818181818181819,0.5201612903225806,0.6246973365617433,155,"NA","NA","NA","NONE"
0,4,"0%",1,"Startle-NNI (C++)",248,248,165,165,83,0.665323,0.665323,0.334677,0.3346774193548387,0.3346774193548387,0.3346774193548387,330,1952.58,1.1441814676565896,13.42,"NONE"
0,4,"0%",1,"LAML",248,248,160,160,88,0.645161,0.645161,0.354839,0.3548387096774194,0.3548387096774194,0.3548387096774194,320,1933.31,1.1328895477958196,15864.42,"NONE"
0,4,"0%",1,"Cassiopeia-Greedy",248,248,196,196,52,0.790323,0.790323,0.209677,0.20967741935483872,0.20967741935483872,0.20967741935483872,392,2486.09,1.4568100179897219,6.52,"NONE"
0,4,"0%",1,"StarCDP-Rand",248,248,93,93,155,0.375,0.375,0.625,0.625,0.625,0.625,186,1674.65,0.9813188165458563,73.7,"NONE"
0,4,"0%",1,"StarCDP-Bias",248,248,104,104,144,0.419355,0.419355,0.580645,0.5806451612903226,0.5806451612903226,0.5806451612903226,208,1674.65,0.9813188165458563,72.67,"NONE"
0,4,"0%",1,"PAUP*",248,228,102,82,146,0.41129,0.359649,0.640351,0.6403508771929824,0.5887096774193549,0.6134453781512605,184,1677.08,0.9827427586974737,56.95,"NONE"
0,4,"0%",1,"PAUP*-SC",248,149,126,27,122,0.508065,0.181208,0.818792,0.8187919463087249,0.49193548387096775,0.6146095717884131,153,"NA","NA","NA","NONE"
0,4,"0%",1,"StarCDP-SC",248,157,124,33,124,0.5,0.210191,0.789809,0.7898089171974523,0.5,0.6123456790123457,157,"NA","NA","NA","NONE"
0,4,"0%",2,"Startle-NNI (C++)",248,248,163,163,85,0.657258,0.657258,0.342742,0.34274193548387094,0.34274193548387094,0.34274193548387094,326,1936.84,1.1734086186318997,6.56,"NONE"
0,4,"0%",2,"LAML",248,248,164,164,84,0.66129,0.66129,0.33871,0.3387096774193548,0.3387096774193548,0.3387096774193548,328,1931.23,1.1700098751370707,16598.94,"NONE"
0,4,"0%",2,"Cassiopeia-Greedy",248,248,197,197,51,0.794355,0.794355,0.205645,0.2056451612903226,0.2056451612903226,0.2056451612903226,394,2478.61,1.5016327297181045,5.73,"NONE"
0,4,"0%",2,"StarCDP-Rand",248,248,77,77,171,0.310484,0.310484,0.689516,0.6895161290322581,0.6895161290322581,0.6895161290322581,154,1628.01,0.9863080921598683,79.83,"NONE"
0,4,"0%",2,"StarCDP-Bias",248,248,100,100,148,0.403226,0.403226,0.596774,0.5967741935483871,0.5967741935483871,0.5967741935483871,200,1628.01,0.9863080921598683,79.76,"NONE"
0,4,"0%",2,"PAUP*",248,224,92,68,156,0.370968,0.303571,0.696429,0.6964285714285714,0.6290322580645161,0.6610169491525424,160,1630.45,0.9877863335372984,62.39,"NONE"
0,4,"0%",2,"PAUP*-SC",248,156,115,23,133,0.46371,0.147436,0.852564,0.8525641025641025,0.5362903225806451,0.6584158415841584,138,"NA","NA","NA","NONE"
0,4,"0%",2,"StarCDP-SC",248,168,110,30,138,0.443548,0.178571,0.821429,0.8214285714285714,0.5564516129032258,0.6634615384615384,140,"NA","NA","NA","NONE"
0,4,"0%",3,"Startle-NNI (C++)",248,248,175,175,73,0.705645,0.705645,0.294355,0.29435483870967744,0.29435483870967744,0.29435483870967744,350,2063.44,1.1688758978542135,4.91,"NONE"
0,4,"0%",3,"LAML",248,248,172,172,76,0.693548,0.693548,0.306452,0.3064516129032258,0.3064516129032258,0.3064516129032258,344,2052.59,1.1627297033965514,5050.84,"NONE"
0,4,"0%",3,"Cassiopeia-Greedy",248,248,207,207,41,0.834677,0.834677,0.165323,0.16532258064516128,0.16532258064516128,0.16532258064516128,414,2688.97,1.5232195862506515,5.29,"NONE"
